sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType			
A4_T2_R1	0	50	Up	A4		T2	18S	R1	500	42	sample			
B1_T2_R1	40	0	Up	B1	B5	T2	18S	R1	500	30.6	sample			
B2_T2_R1	10	25	Up	B2	B6	T2	18S	R1	500	30.4	sample			
B3_T2_R1	30	100	Up	B3	B7	T2	18S	R1	500	30.4	sample			
B4_T2_R1	40	200	Up	B4	B8	T2	18S	R1	500	41.6	sample			
B5_T2_R1	40	0	Down	B5	B1	T2	18S	R1	500	34.4	sample			
B6_T2_R1	10	25	Down	B6	B2	T2	18S	R1	500	22	sample			
B7_T2_R1	30	100	Down	B7	B3	T2	18S	R1	500	20.4	sample			
B8_T2_R1	40	200	Down	B8	B4	T2	18S	R1	500	26.8	sample			
C1_T2_R1	0	0	Up	C1		T2	18S	R1	500	17.8	sample			
C2_T2_R1	20	0	Up	C2	C6	T2	18S	R1	500	31	sample			
C3_T2_R1	40	200	Up	C3	C7	T2	18S	R1	400	10.8	sample			
C6_T2_R1	20	0	Down	C6	C2	T2	18S	R1	500	14.9	sample			
C7_T2_R1	40	200	Down	C7	C3	T2	18S	R1	500	20	sample			
D1_T2_R1	20	50	Up	D1	D5	T2	18S	R1	500	12.7	sample			
D2_T2_R1	20	200	Up	D2	D6	T2	18S	R1	200	11.1	sample			
D4_T2_R1	0	0	Up	D4		T2	18S	R1	500	20.6	sample			
D5_T2_R1	20	50	Down	D5	D1	T2	18S	R1	500	8.38	sample			
D6_T2_R1	20	200	Down	D6	D2	T2	18S	R1	250	29.2	sample			
E1_T2_R1	30	100	Up	E1	E5	T2	18S	R1	500	9.94	sample			
E2_T2_R1	0	200	Up	E2		T2	18S	R1	250	18.9	sample			
E3_T2_R1	40	0	Up	E3	E7	T2	18S	R1	500	21.4	sample			
E5_T2_R1	30	100	Down	E5	E1	T2	18S	R1	500	30.2	sample			
E7_T2_R1	40	0	Down	E7	E3	T2	18S	R1	500	18.4	sample			
F1_T2_R1	40	50	Up	F1	F5	T2	18S	R1	250	5.04	sample			
F3_T2_R1	10	100	Up	F3	F7	T2	18S	R1	250	5.54	sample			
F4_T2_R1	20	200	Up	F4	F8	T2	18S	R1	250	10.3	sample			
F5_T2_R1	40	50	Down	F5	F1	T2	18S	R1	500	12.5	sample			
F7_T2_R1	10	100	Down	F7	F3	T2	18S	R1	500	12.2	sample			
F8_T2_R1	20	200	Down	F8	F4	T2	18S	R1	500	19	sample			
G2_T2_R1	10	100	Up	G2	G6	T2	18S	R1	250	12.9	sample			
G3_T2_R1	30	25	Up	G3	G7	T2	18S	R1	500	20.4	sample			
G4_T2_R1	30	25	Up	G4	G8	T2	18S	R1	500	9.26	sample			
G7_T2_R1	30	25	Down	G7	G3	T2	18S	R1	500	14.6	sample			
G8_T2_R1	30	25	Down	G8	G4	T2	18S	R1	500	29.2	sample			
H1_T2_R1	20	0	Up	H1	H5	T2	18S	R1	500	13.2	sample			
H2_T2_R1	0	200	Up	H2		T2	18S	R1	500	25	sample			
H4_T2_R1	20	50	Up	H4	H8	T2	18S	R1	500	20.6	sample			
H5_T2_R1	20	0	Down	H5	H1	T2	18S	R1	500	27.8	sample			
H7_T2_R1				H7		T2	18S	R1	500	20.6	sample			
H8_T2_R1	20	50	Down	H8	H4	T2	18S	R1	500	15.5	sample			
I2_T2_R1	10	25	Up	I2	I6	T2	18S	R1	500	30.2	sample			
I5_T2_R1	0	0	Up	I5		T2	18S	R1	500	13.1	sample			
I6_T2_R1	10	25	Down	I6	I2	T2	18S	R1	500	30.2	sample			
Resv_T2_R1				Resv		T2	18S	R1	500	31.2	resv			
Cont_T2_R1				Cont		T2	18S	R1	500	27	blank			
A4_T3_R1	0	50	Up	A4		T3	18S	R1	200	46.4	sample			
B1_T3_R1	40	0	Up	B1	B5	T3	18S	R1	500	29	sample			
B2_T3_R1	10	25	Up	B2	B6	T3	18S	R1	500	42.4	sample			
B3_T3_R1	30	100	Up	B3	B7	T3	18S	R1	250	51.2	sample			
B4_T3_R1	40	200	Up	B4	B8	T3	18S	R1	250	53.4	sample			
B5_T3_R1	40	0	Down	B5	B1	T3	18S	R1	500	39.8	sample			
B6_T3_R1	10	25	Down	B6	B2	T3	18S	R1	500	40.8	sample			
B7_T3_R1	30	100	Down	B7	B3	T3	18S	R1	150	48.8	sample			
B8_T3_R1	40	200	Down	B8	B4	T3	18S	R1	500	31.8	sample			
C1_T3_R1	0	0	Up	C1		T3	18S	R1	500	21.2	sample			
C2_T3_R1	20	0	Up	C2	C6	T3	18S	R1	500	27	sample			
C3_T3_R1	40	200	Up	C3	C7	T3	18S	R1	120	32.6	sample			
C6_T3_R1	20	0	Down	C6	C2	T3	18S	R1	500	15.5	sample			
C7_T3_R1	40	200	Down	C7	C3	T3	18S	R1	100	33	sample			
D1_T3_R1	20	50	Up	D1	D5	T3	18S	R1	150	40	sample			0
D2_T3_R1	20	200	Up	D2	D6	T3	18S	R1	100	19.5	sample			
D4_T3_R1	0	0	Up	D4		T3	18S	R1	500	28.8	sample			
D5_T3_R1	20	50	Down	D5	D1	T3	18S	R1	500	21	sample			
D6_T3_R1	20	200	Down	D6	D2	T3	18S	R1	250	46.4	sample			
E1_T3_R1	30	100	Up	E1	E5	T3	18S	R1	250	23.6	sample			
E2_T3_R1	0	200	Up	E2		T3	18S	R1	250	31.6	sample			
E3_T3_R1	40	0	Up	E3	E7	T3	18S	R1	500	47	sample			
E5_T3_R1	30	100	Down	E5	E1	T3	18S	R1	250	23.4	sample			
E7_T3_R1	40	0	Down	E7	E3	T3	18S	R1	500	31	sample			
F1_T3_R1	40	50	Up	F1	F5	T3	18S	R1	150	14.3	sample			
F3_T3_R1	10	100	Up	F3	F7	T3	18S	R1	125	9.26	sample			
F4_T3_R1	20	200	Up	F4	F8	T3	18S	R1	500	31.2	sample			
F5_T3_R1	40	50	Down	F5	F1	T3	18S	R1	125	9.6	sample			
F7_T3_R1	10	100	Down	F7	F3	T3	18S	R1	500	29.8	sample			
F8_T3_R1	20	200	Down	F8	F4	T3	18S	R1	500	18.6	sample			
G2_T3_R1	10	100	Up	G2	G6	T3	18S	R1	500	47.2	sample			
G3_T3_R1	30	25	Up	G3	G7	T3	18S	R1	500	34.2	sample			
G4_T3_R1	30	25	Up	G4	G8	T3	18S	R1	155	49.8	sample			
G6_T3_R1	10	100	Down	G6	G2	T3	18S	R1	500	31	sample			
G7_T3_R1	30	25	Down	G7	G3	T3	18S	R1	500	65.4	sample			
G8_T3_R1	30	25	Down	G8	G4	T3	18S	R1	500	8.78	sample			
H1_T3_R1	20	0	Up	H1	H5	T3	18S	R1	500	2.62	sample			
H2_T3_R1	0	200	Up	H2		T3	18S	R1	500	57.4	sample			
H4_T3_R1	20	50	Up	H4	H8	T3	18S	R1	100	60	sample			
H5_T3_R1	20	0	Down	H5	H1	T3	18S	R1	500	39.4	sample			
H8_T3_R1	20	50	Down	H8	H4	T3	18S	R1	300	21.8	sample			
I2_T3_R1	10	25	Up	I2	I6	T3	18S	R1	500	19.8	sample			
I5_T3_R1	0	0	Up	I5		T3	18S	R1	500	36.2	sample			
I6_T3_R1	10	25	Down	I6	I2	T3	18S	R1	500	48.4	sample			
Resv_T3_R1				Resv		T3	18S	R1	500	28.4	resv			
Cont_T3_R1				Cont		T3	18S	R1	500	1.99	blank			
A4_T4_R1	0	50	Up	A4		T4	18S	R1	250	13.2	sample			
B1_T4_R1	40	0	Up	B1	B5	T4	18S	R1	500	31.2	sample			
B2_T4_R1	10	25	Up	B2	B6	T4	18S	R1	500	30	sample			
B3_T4_R1	30	100	Up	B3	B7	T4	18S	R1	250	65.8	sample			
B4_T4_R1	40	200	Up	B4	B8	T4	18S	R1	250	43.2	sample			
B5_T4_R1	40	0	Down	B5	B1	T4	18S	R1	500	29	sample			
B6_T4_R1	10	25	Down	B6	B2	T4	18S	R1	500	12.4	sample			
B7_T4_R1	30	100	Down	B7	B3	T4	18S	R1	250	37.6	sample			
B8_T4_R1	40	200	Down	B8	B4	T4	18S	R1	500	45	sample			
C1_T4_R1	0	0	Up	C1		T4	18S	R1	125	28.4	sample			
C2_T4_R1	20	0	Up	C2	C6	T4	18S	R1	500	17.2	sample			
C3_T4_R1	40	200	Up	C3	C7	T4	18S	R1	125	63.8	sample			
C6_T4_R1	20	0	Down	C6	C2	T4	18S	R1	500	27	sample			
C7_T4_R1	40	200	Down	C7	C3	T4	18S	R1	100	26.8	sample			
D1_T4_R1	20	50	Up	D1	D5	T4	18S	R1	125	43.6	sample			
D2_T4_R1	20	200	Up	D2	D6	T4	18S	R1	100	31.6	sample			
D4_T4_R1	0	0	Up	D4		T4	18S	R1	500	46	sample			
D5_T4_R1	20	50	Down	D5	D1	T4	18S	R1	100	90.8	sample			
D6_T4_R1	20	200	Down	D6	D2	T4	18S	R1	250	32.6	sample			
E1_T4_R1	30	100	Up	E1	E5	T4	18S	R1	125	32.6	sample			
E2_T4_R1	0	200	Up	E2		T4	18S	R1	200	35.2	sample			
E3_T4_R1	40	0	Up	E3	E7	T4	18S	R1	500	55.8	sample			
E5_T4_R1	30	100	Down	E5	E1	T4	18S	R1	200	39.6	sample			
E7_T4_R1	40	0	Down	E7	E3	T4	18S	R1	500	69	sample			
F1_T4_R1	40	50	Up	F1	F5	T4	18S	R1	100	18.8	sample			
F3_T4_R1	10	100	Up	F3	F7	T4	18S	R1	250	23.6	sample			
F4_T4_R1	20	200	Up	F4	F8	T4	18S	R1	500	36.2	sample			
F5_T4_R1	40	50	Down	F5	F1	T4	18S	R1	250	61.2	sample			
F7_T4_R1	10	100	Down	F7	F3	T4	18S	R1	500	19.3	sample			
F8_T4_R1	20	200	Down	F8	F4	T4	18S	R1	300	51.6	sample			
G1_T4_R1	40	50	Up	G1	G5	T4	18S	R1	150	31.2	sample			
G2_T4_R1	10	100	Up	G2	G6	T4	18S	R1	500	29.2	sample			
G3_T4_R1	30	25	Up	G3	G7	T4	18S	R1	500	25.6	sample			
G4_T4_R1	30	25	Up	G4	G8	T4	18S	R1	125	14.2	sample			
G6_T4_R1	10	100	Down	G6	G2	T4	18S	R1	500	25.4	sample			
G7_T4_R1	30	25	Down	G7	G3	T4	18S	R1	500	17.2	sample			
G8_T4_R1	30	25	Down	G8	G4	T4	18S	R1	500	25.2	sample			
H1_T4_R1	20	0	Up	H1	H5	T4	18S	R1	500	38.8	sample			
H2_T4_R1	0	200	Up	H2		T4	18S	R1	500	79.8	sample			
H4_T4_R1	20	50	Up	H4	H8	T4	18S	R1	125	21.4	sample			
H5_T4_R1	20	0	Down	H5	H1	T4	18S	R1	500	61.6	sample			
H8_T4_R1	20	50	Down	H8	H4	T4	18S	R1	250	25	sample			
I2_T4_R1	10	25	Up	I2	I6	T4	18S	R1	500	50	sample			
I5_T4_R1	0	0	Up	I5		T4	18S	R1	500	30	sample			
I6_T4_R1	10	25	Down	I6	I2	T4	18S	R1	500	17.6	sample			
Resv_T4_R1				Resv		T4	18S	R1	500	39.8	resv			
Cont_T4_R1				Cont		T4	18S	R1	500	2.56	blank			
A4_T5_R1	0	50	Up	A4		T5	18S	R1	125	23.8	sample			
B1_T5_R1	40	0	Up	B1	B5	T5	18S	R1	500	23.8	sample			
B2_T5_R1	10	25	Up	B2	B6	T5	18S	R1	250	21	sample			
B3_T5_R1	30	100	Up	B3	B7	T5	18S	R1	250	54.8	sample			
B4_T5_R1	40	200	Up	B4	B8	T5	18S	R1	250	6.4	sample			
B5_T5_R1	40	0	Down	B5	B1	T5	18S	R1	500	28.2	sample			
B6_T5_R1	10	25	Down	B6	B2	T5	18S	R1	500	26.8	sample			
B7_T5_R1	30	100	Down	B7	B3	T5	18S	R1	250	23.2	sample			
B8_T5_R1	40	200	Down	B8	B4	T5	18S	R1	500	19.4	sample			
C1_T5_R1	0	0	Up	C1		T5	18S	R1	250	42.4	sample			
C2_T5_R1	20	0	Up	C2	C6	T5	18S	R1	500	38.6	sample			
C3_T5_R1	40	200	Up	C3	C7	T5	18S	R1	250	44.4	sample			
C6_T5_R1	20	0	Down	C6	C2	T5	18S	R1	500	36.2	sample			
C7_T5_R1	40	200	Down	C7	C3	T5	18S	R1	125	41	sample			
D1_T5_R1	20	50	Up	D1	D5	T5	18S	R1	125	23.4	sample			
D2_T5_R1	20	200	Up	D2	D6	T5	18S	R1	125	30.6	sample			
D4_T5_R1	0	0	Up	D4		T5	18S	R1	500	31	sample			
D5_T5_R1	20	50	Down	D5	D1	T5	18S	R1	125	19.5	sample			
D6_T5_R1	20	200	Down	D6	D2	T5	18S	R1	125	73.4	sample			
E1_T5_R1	30	100	Up	E1	E5	T5	18S	R1	75	13	sample			
E2_T5_R1	0	200	Up	E2		T5	18S	R1	125	33.8	sample			
E3_T5_R1	40	0	Up	E3	E7	T5	18S	R1	500	13.1	sample			
E5_T5_R1	30	100	Down	E5	E1	T5	18S	R1	125	32.4	sample			
E7_T5_R1	40	0	Down	E7	E3	T5	18S	R1	500	32.6	sample			
F1_T5_R1	40	50	Up	F1	F5	T5	18S	R1	125	44	sample			
F3_T5_R1	10	100	Up	F3	F7	T5	18S	R1	250	34.8	sample			
F5_T5_R1	40	50	Down	F5	F1	T5	18S	R1	125	35.4	sample			
F7_T5_R1	10	100	Down	F7	F3	T5	18S	R1	500	50.8	sample			
F8_T5_R1	20	200	Down	F8	F4	T5	18S	R1	250	44.6	sample			
G1_T5_R1	40	50	Up	G1	G5	T5	18S	R1	125	38.8	sample			
G2_T5_R1	10	100	Up	G2	G6	T5	18S	R1	500	36	sample			
G3_T5_R1	30	25	Up	G3	G7	T5	18S	R1	500	43.2	sample			
G4_T5_R1	30	25	Up	G4	G8	T5	18S	R1	125	35.2	sample			
G5_T5_R1	40	50	Down	G5	G1	T5	18S	R1	125	33.6	sample			
G6_T5_R1	10	100	Down	G6	G2	T5	18S	R1	500	28.2	sample			
G7_T5_R1	30	25	Down	G7	G3	T5	18S	R1	500	40	sample			
G8_T5_R1	30	25	Down	G8	G4	T5	18S	R1	500	12.3	sample			
H1_T5_R1	20	0	Up	H1	H5	T5	18S	R1	500	22.2	sample			
H2_T5_R1	0	200	Up	H2		T5	18S	R1	500	26.4	sample			
H4_T5_R1	20	50	Up	H4	H8	T5	18S	R1	125	17.7	sample			
H5_T5_R1	20	0	Down	H5	H1	T5	18S	R1	500	21.6	sample			
H8_T5_R1	20	50	Down	H8	H4	T5	18S	R1	250	14.2	sample			
I2_T5_R1	10	25	Up	I2	I6	T5	18S	R1	500	26.6	sample			
I5_T5_R1	0	0	Up	I5		T5	18S	R1	300	16.9	sample			
I6_T5_R1	10	25	Down	I6	I2	T5	18S	R1	500	19.5	sample			
Resv_T5_R1				Resv		T5	18S	R1	500	27.4	resv			
Cont_T5_R1				Cont		T5	18S	R1	500	1.2	blank			
B4_T1_R1	40	200	Up	B4		T1	18S	R1	500	34.8	sample			
B5_T1_R1	40	0	Down	B5		T1	18S	R1	500	13.4	sample			
C1_T1_R1	0	0	Up	C1		T1	18S	R1	500	80	sample			
C2_T1_R1	20	0	Up	C2		T1	18S	R1	500	31.2	sample			
C3_T1_R1	40	200	Up	C3		T1	18S	R1	500	89.2	sample			
C6_T1_R1	20	0	Down	C6		T1	18S	R1	500	49.6	sample			
D2_T1_R1	20	200	Up	D2		T1	18S	R1	500	42.2	sample			
D4_T1_R1	0	0	Up	D4		T1	18S	R1	500	42.6	sample			
D6_T1_R1	20	200	Down	D6		T1	18S	R1	500	71.8	sample			
E1_T1_R1	30	100	Up	E1		T1	18S	R1	500	38.6	sample			
E2_T1_R1	0	200	Up	E2		T1	18S	R1	500	51.4	sample			
E5_T1_R1	30	100	Down	E5		T1	18S	R1	500	54.2	sample			
F5_T1_R1	40	50	Down	F5		T1	18S	R1	500	64	sample			
F7_T1_R1	10	100	Down	F7		T1	18S	R1	500	62.2	sample			
F8_T1_R1	20	200	Down	F8		T1	18S	R1	500	34	sample			
G1_T1_R1	40	50	Up	G1		T1	18S	R1	500	58.6	sample			
G4_T1_R1	30	25	Up	G4		T1	18S	R1	500	46	sample			
G6_T1_R1	10	100	Down	G6		T1	18S	R1	500	50.2	sample			
G7_T1_R1	30	25	Down	G7		T1	18S	R1	500	40.8	sample			
G8_T1_R1	30	25	Down	G8		T1	18S	R1	500	50.4	sample			
H8_T1_R1	20	50	Down	H8		T1	18S	R1	500	50	sample			
I5_T1_R1	0	0	Up	I5		T1	18S	R1	500	47	sample			
